State,Route,Bus Name,Bus Type,Departing Time,Duration Time,Reaching Time,Price,Seats Available,Star Rating
APSRIC,Hyderabad to Vijayawada,FRESHBUS,Electric A/C Seater (2+2),04:35,05h 55m,10:30,1998,23 Seats available,4.7
APSRIC,Hyderabad to Vijayawada,FRESHBUS,Electric A/C Seater (2+2),22:55,06h 15m,05:10,2298,15 Seats available,4.6
APSRIC,Hyderabad to Vijayawada,FRESHBUS,Electric A/C Seater (2+2),05:50,05h 55m,11:45,1998,42 Seats available,4.6
APSRIC,Hyderabad to Vijayawada,AdSitara Travels,NON A/C Push Back (2+2),22:40,05h 20m,04:00,944,17 Seats available,4.6
APSRIC,Hyderabad to Vijayawada,IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),23:50,05h 45m,05:35,949,25 Seats available,4.4
APSRIC,Hyderabad to Vijayawada,FRESHBUS,Electric A/C Seater (2+2),13:10,06h 15m,19:25,1598,32 Seats available,4.5
APSRIC,Hyderabad to Vijayawada,Sri Sanvi Tours and Travels,A/C Sleeper (2+1),22:15,06h 30m,04:45,1169,32 Seats available,4.4
APSRIC,Hyderabad to Vijayawada,AdSai RK Travels,Non A/C Seater / Sleeper (2+1),22:00,06h 00m,04:00,1110,11 Seats available,3.7
APSRIC,Hyderabad to Vijayawada,IntrCity SmartBus,Scania AC Multi Axle Sleeper (2+1),23:59,06h 31m,06:30,1379,22 Seats available,4.5
APSRIC,Hyderabad to Vijayawada,FRESHBUS,Electric A/C Seater (2+2),00:20,06h 10m,06:30,1129,28 Seats available,4.5
APSRIC,Hyderabad to Vijayawada,KPS Buses,A/C Sleeper (2+1),21:05,07h 25m,04:30,898,28 Seats available,4.5
APSRIC,Hyderabad to Vijayawada,GMRK Tours and Travels,Volvo A/C Semi Sleeper (2+2),23:45,05h 40m,05:25,949,41 Seats available,4.0
APSRIC,Hyderabad to Vijayawada,CVR Express,Non A/C Seater / Sleeper (2+1),21:40,06h 20m,04:00,890,26 Seats available,4.4
