State,Route,Bus Name,Bus Type,Departing Time,Duration Time,Reaching Time,Price,Seats Available,Star Rating
CTURTC,Yamuna Nagar to Chandigarh,Chandigarh Transport Undertaking (CTU) - 165752,HVAC Seater (2+3),14:20,02h 45m,17:05,195.6,26 Seats available,3.9
CTURTC,Yamuna Nagar to Chandigarh,Zimindara Travels,AC Sleeper (2+1),20:30,04h 00m,00:30,699,26 Seats available,4.1
CTURTC,Yamuna Nagar to Chandigarh,SHRI KRISHNA TRAVELS (JAI SHREE GANESH YATRA CO.),VE A/C Seater / Sleeper (2+1),20:40,02h 50m,23:30,899,38 Seats available,3.7
CTURTC,Yamuna Nagar to Chandigarh,Om Sidh Express,Volvo A/C Semi Sleeper (2+2),20:20,02h 40m,23:00,1044,32 Seats available,3.5
CTURTC,Yamuna Nagar to Chandigarh,City Land Travels,A/C Seater/Sleeper (2+1),22:20,02h 00m,00:20,748,32 Seats available,3.5
CTURTC,Chandigarh to Delhi,NueGo,Electric A/C Seater (2+2),12:55,04h 35m,17:30,285,35 Seats available,3.7
CTURTC,Chandigarh to Delhi,Laxmi holidays,Volvo A/C Semi Sleeper (2+2),13:00,06h 00m,19:00,522,27 Seats available,3.8
CTURTC,Chandigarh to Delhi,City Land Travels,Volvo A/C Semi Sleeper (2+2),13:25,05h 35m,19:00,448,41 Seats available,5.0
CTURTC,Chandigarh to Delhi,Laxmi holidays,Volvo A/C Semi Sleeper (2+2),13:40,05h 20m,19:00,399,26 Seats available,4.4
CTURTC,Chandigarh to Delhi,City Land Travels,Volvo A/C Semi Sleeper (2+2),14:00,05h 00m,19:00,388,32 Seats available,3.5
CTURTC,Chandigarh to Delhi,Subh Yatri Holidays,Volvo A/C Semi Sleeper (2+2),23:55,04h 50m,04:45,599,31 Seats available,3.0
CTURTC,Chandigarh to Delhi,FlixBus,Volvo A/C Seater (2+2),14:25,05h 20m,19:45,427.68,37 Seats available,3.9
CTURTC,Chandigarh to Delhi,NueGo,Electric A/C Seater (2+2),14:30,05h 30m,20:00,285,27 Seats available,3.3
