State,Route,Bus Name,Bus Type,Departing Time,Duration Time,Reaching Time,Price,Seats Available,Star Rating
HRTC,Delhi to Shimla,Laxmi holidays,Volvo A/C Semi Sleeper (2+2),23:25,08h 20m,07:45,949,41 Seats available,4.4
HRTC,Delhi to Shimla,Bedi Travels,Volvo A/C Semi Sleeper (2+2),23:00,09h 00m,08:00,962,6 Seats available,4.8
HRTC,Delhi to Shimla,Ram Dalal Holidays,Mercedes Multi-Axle Semi Sleeper (2+2),23:30,08h 10m,07:40,880,20 Seats available,4.5
HRTC,Delhi to Shimla,AdCity Land Travels,Volvo Multi-Axle I-Shift B11R Semi Sleeper (2+2),23:55,07h 30m,07:25,888,34 Seats available,3.5
HRTC,Delhi to Shimla,Zingbus Plus,Bharat Benz A/C Semi Sleeper (2+2),22:35,09h 35m,08:10,814,33 Seats available,4.4
HRTC,Delhi to Shimla,Laxmi holidays,Scania Multi-Axle AC Semi Sleeper (2+2),23:30,08h 30m,08:00,949,40 Seats available,4.5
HRTC,Delhi to Shimla,Here Bus,AC Seater (2+2),22:25,07h 40m,06:05,743.81,24 Seats available,3.6
HRTC,Delhi to Shimla,FlixBus,Volvo A/C Seater (2+2),23:55,08h 40m,08:35,820.54,14 Seats available,3.3
HRTC,Delhi to Shimla,City Land Travels,Volvo A/C Semi Sleeper (2+2),22:30,07h 30m,06:00,888,14 Seats available,1.9
HRTC,Delhi to Shimla,RAO TRAVELS INDIA PVT LTD.,AC Seater (2+2),21:00,10h 30m,07:30,1500,32 Seats available,2.8
HRTC,Chandigarh to Hamirpur (Himachal Pradesh),HRTC - 1529,Ordinary 3+2 Non AC Seater,13:56,05h 09m,19:05,364,37 Seats available,3.3
HRTC,Hamirpur (Himachal Pradesh) to Chandigarh,Laxmi holidays,Volvo A/C Semi Sleeper (2+2),20:20,04h 55m,01:15,522,18 Seats available,4.6
HRTC,Hamirpur (Himachal Pradesh) to Chandigarh,Ram Dalal Holidays,Volvo A/C Semi Sleeper (2+2),21:15,04h 05m,01:20,690,9 Seats available,4.1
HRTC,Hamirpur (Himachal Pradesh) to Chandigarh,Northern Travels,Volvo A/C Semi Sleeper (2+2),22:00,03h 15m,01:15,600,41 Seats available,5.0
HRTC,Hamirpur (Himachal Pradesh) to Chandigarh,Bedi Travels,Volvo A/C Semi Sleeper (2+2),22:05,04h 00m,02:05,629,13 Seats available,4.8
HRTC,Hamirpur (Himachal Pradesh) to Chandigarh,Northern Travels,Volvo A/C Semi Sleeper (2+2),22:00,03h 15m,01:15,600,31 Seats available,2.8
HRTC,Hamirpur (Himachal Pradesh) to Chandigarh,Ram Dalal Holidays,Volvo A/C Semi Sleeper (2+2),22:00,05h 10m,03:10,800,11 Seats available,5.0
HRTC,Shimla to Delhi,RSRTC - 192348,Super Luxury Volvo AC Seater Pushback 2+2,16:30,09h 30m,02:00,1117,24 Seats available,2.5
HRTC,Shimla to Delhi,Bedi Travels,Volvo A/C Semi Sleeper (2+2),21:30,08h 00m,05:30,477,26 Seats available,4.8
HRTC,Shimla to Delhi,Ram Dalal Holidays,Mercedes Multi-Axle Semi Sleeper (2+2),22:00,08h 40m,06:40,550,21 Seats available,4.3
HRTC,Shimla to Delhi,AdCity Land Travels,Volvo A/C Semi Sleeper (2+2),22:30,07h 00m,05:30,548,22 Seats available,3.9
HRTC,Shimla to Delhi,Zingbus Plus,Bharat Benz A/C Semi Sleeper (2+2),20:30,08h 40m,05:10,466,27 Seats available,4.4
HRTC,Shimla to Delhi,Laxmi holidays,Scania Multi-Axle AC Semi Sleeper (2+2),20:30,08h 00m,04:30,569,8 Seats available,4.4
HRTC,Shimla to Delhi,FlixBus,Volvo A/C Seater (2+2),21:00,09h 00m,06:00,504.46,15 Seats available,5.0
HRTC,Delhi to Chandigarh,RSRTC - 183801,Express Non AC Seater 2+3,15:30,05h 30m,21:00,320,46 Seats available,1.0
HRTC,Delhi to Chandigarh,NueGo,Electric A/C Seater (2+2),14:30,05h 05m,19:35,285,31 Seats available,3.4
HRTC,Delhi to Chandigarh,NueGo,Electric A/C Seater (2+2),15:30,05h 05m,20:35,285,13 Seats available,3.6
HRTC,Delhi to Chandigarh,AdAwadh Travels,A/C Sleeper (2+2),22:10,05h 20m,03:30,585,5 Seats available,3.7
HRTC,Delhi to Chandigarh,FlixBus,AC Seater (2+2),16:00,06h 10m,22:10,366.96,33 Seats available,4.3
HRTC,Delhi to Chandigarh,NueGo,Electric A/C Seater (2+2),16:30,05h 25m,21:55,285,23 Seats available,3.4
HRTC,Delhi to Chandigarh,City Land Travels,Volvo A/C Semi Sleeper (2+2),17:00,06h 00m,23:00,688,22 Seats available,3.8
HRTC,Delhi to Chandigarh,Laxmi holidays,Volvo 9600 A/C Semi Sleeper (2+2),17:00,05h 50m,22:50,569,20 Seats available,4.6
HRTC,Delhi to Chandigarh,Laxmi holidays,Bharat Benz A/C Seater /Sleeper (2+1),17:00,06h 05m,23:05,400,38 Seats available,4.3
HRTC,Delhi to Chandigarh,Subh Yatri Holidays,Volvo A/C Semi Sleeper (2+2),18:00,06h 15m,00:15,672,13 Seats available,3.0
HRTC,Delhi to Chandigarh,Orbit Aviation Pvt. Ltd.,Mercedes Multi-Axle Semi Sleeper (2+2),17:00,05h 02m,22:02,449,24 Seats available,3.6
HRTC,Delhi to Chandigarh,NueGo,Electric A/C Seater (2+2),17:30,05h 05m,22:35,285,43 Seats available,3.9
HRTC,Delhi to Chandigarh,Zingbus Plus,Volvo A/C Semi Sleeper (2+2),17:30,06h 00m,23:30,465,24 Seats available,4.7
HRTC,Delhi to Chandigarh,Deltin Travels,Scania Multi-Axle AC Semi Sleeper (2+2),19:30,04h 29m,23:59,510,31 Seats available,4.7
HRTC,Delhi to Chandigarh,Big Bus,A/C Seater / Sleeper (2+2),17:35,04h 50m,22:25,685,10 Seats available,4.0
HRTC,Delhi to Chandigarh,FlixBus,Bharat Benz A/C Sleeper (2+1),17:45,05h 20m,23:05,915.18,18 Seats available,3.9
HRTC,Delhi to Chandigarh,Ram Dalal Holidays,Bharat Benz A/C Sleeper (2+1),17:55,06h 10m,00:05,650,20 Seats available,4.5
HRTC,Delhi to Chandigarh,Himalayan Nomad Ktc,Volvo A/C Semi Sleeper (2+2),19:45,05h 00m,00:45,744,13 Seats available,3.8
HRTC,Delhi to Chandigarh,Laxmi holidays,Bharat Benz A/C Sleeper (2+1),18:00,05h 30m,23:30,664,14 Seats available,4.7
HRTC,Delhi to Chandigarh,Subh Yatri Holidays,Volvo A/C Semi Sleeper (2+2),18:00,06h 15m,00:15,672,24 Seats available,3.0
HRTC,Delhi to Chandigarh,Ram Dalal Holidays,Bharat Benz A/C Sleeper (2+1),18:30,05h 35m,00:05,550,19 Seats available,4.0
HRTC,Delhi to Chandigarh,Laxmi holidays,Scania Multi-Axle AC Semi Sleeper (2+2),18:30,05h 15m,23:45,499,36 Seats available,4.7
HRTC,Delhi to Chandigarh,BIR BILLING TRAVELS,Volvo A/C Semi Sleeper (2+2),19:30,05h 45m,01:15,665,9 Seats available,3.8
HRTC,Delhi to Chandigarh,FlixBus,Volvo A/C Seater (2+2),18:45,05h 55m,00:40,366.96,40 Seats available,3.0
HRTC,Delhi to Chandigarh,Ashok Bus Service,VE A/C Seater / Sleeper (2+1),18:45,06h 30m,01:15,522,24 Seats available,4.2
HRTC,Delhi to Chandigarh,Reo India Travels,Volvo A/C B11R Multi Axle Semi Sleeper (2+2),18:45,05h 25m,00:10,570,19 Seats available,3.6
HRTC,Delhi to Chandigarh,Jamna Travels (Delhi),A/C Seater / Sleeper (2+2),19:00,05h 29m,00:29,699,22 Seats available,3.9
HRTC,Delhi to Chandigarh,Laxmi holidays,Volvo 9600 A/C Semi Sleeper (2+2),19:00,04h 55m,23:55,664,59 Seats available,4.5
HRTC,Delhi to Chandigarh,Orbit Aviation Pvt. Ltd.,Mercedes Multi-Axle Semi Sleeper (2+2),23:57,06h 13m,06:10,449,12 Seats available,3.6
HRTC,Delhi to Chandigarh,Laxmi holidays,Volvo 9600 A/C Semi Sleeper (2+2),19:00,05h 15m,00:15,569,11 Seats available,4.3
HRTC,Delhi to Chandigarh,Laxmi holidays,Scania Multi-Axle AC Semi Sleeper (2+2),19:00,04h 55m,23:55,759,18 Seats available,4.6
HRTC,Delhi to Chandigarh,Zingbus Plus,Volvo 9600 A/C Semi Sleeper (2+2),20:30,05h 15m,01:45,452,14 Seats available,4.3
HRTC,Delhi to Chandigarh,Metahills holidays,Scania A/C Semi Sleeper (2+2),19:00,04h 21m,23:21,710,33 Seats available,3.2
HRTC,Delhi to Chandigarh,Himalayan Nomad Ktc,Volvo A/C Semi Sleeper (2+2),19:30,05h 00m,00:30,744,46 Seats available,5.0
HRTC,Delhi to Chandigarh,Deltin Travels,Scania Multi-Axle AC Semi Sleeper (2+2),22:45,05h 19m,04:04,700,23 Seats available,4.1
HRTC,Delhi to Chandigarh,RS YADAV SMART BUS,Volvo A/C Semi Sleeper (2+2),19:15,05h 39m,00:54,700,21 Seats available,4.4
HRTC,Delhi to Chandigarh,Golden Temple Express Volvo,Volvo Multi-Axle A/C Semi Sleeper (2+2),23:05,05h 20m,04:25,599,31 Seats available,3.0
HRTC,Delhi to Chandigarh,Zingbus Plus,Scania A/C Semi Sleeper (2+2),20:00,05h 15m,01:15,452,31 Seats available,4.6
HRTC,Delhi to Chandigarh,Laxmi holidays,Volvo A/C Semi Sleeper (2+2),19:30,05h 10m,00:40,759,37 Seats available,4.6
HRTC,Delhi to Chandigarh,A N Holidays,Bharat Benz A/C Semi Sleeper (2+2),19:30,04h 25m,23:55,699,25 Seats available,3.5
HRTC,Delhi to Chandigarh,Deltin Travels,Scania Multi-Axle AC Semi Sleeper (2+2),22:50,05h 10m,04:00,709,12 Seats available,3.1
HRTC,Delhi to Chandigarh,Laxmi holidays,Scania Multi-Axle AC Semi Sleeper (2+2),19:30,05h 00m,00:30,569,28 Seats available,4.2
HRTC,Delhi to Chandigarh,Zingbus Plus,Volvo A/C Semi Sleeper (2+2),21:45,04h 55m,02:40,452,13 Seats available,4.7
HRTC,Delhi to Chandigarh,SPEED BUS,Bharat Benz A/C Seater / Sleeper (2+2),21:45,06h 15m,04:00,499,18 Seats available,2.0
HRTC,Delhi to Chandigarh,VT Bus,Scania Multi-Axle AC Semi Sleeper (2+2),20:00,04h 30m,00:30,422,17 Seats available,3.4
HRTC,Delhi to Chandigarh,IntrCity SmartBus,VE A/C Seater / Sleeper (2+1),19:30,05h 40m,01:10,669,13 Seats available,3.4
HRTC,Delhi to Chandigarh,Raghukul Holidays,Volvo A/C Semi Sleeper (2+2),20:00,05h 00m,01:00,719,39 Seats available,3.4
HRTC,Delhi to Chandigarh,Laxmi holidays,VE A/C Seater / Sleeper (2+2),19:30,05h 20m,00:50,499,25 Seats available,3.4
HRTC,Delhi to Chandigarh,Golden Temple Express Volvo,Volvo Multi-Axle A/C Semi Sleeper (2+2),23:05,05h 15m,04:20,599,20 Seats available,3.6
HRTC,Delhi to Chandigarh,Reo India Travels,Volvo A/C B11R Multi Axle Semi Sleeper (2+2),19:35,04h 24m,23:59,503,30 Seats available,4.6
HRTC,Delhi to Chandigarh,Zingbus Plus,Volvo 9600 A/C Semi Sleeper (2+2),21:00,05h 05m,02:05,566,26 Seats available,4.7
HRTC,Delhi to Chandigarh,Ram Dalal Holidays,Bharat Benz A/C Sleeper (2+1),19:40,06h 20m,02:00,650,23 Seats available,4.2
HRTC,Delhi to Chandigarh,Bharmani Travels,Volvo A/C Semi Sleeper (2+2),19:40,06h 00m,01:40,693,55 Seats available,4.1
HRTC,Delhi to Chandigarh,Subh Yatri Holidays,Volvo A/C Semi Sleeper (2+2),19:00,05h 45m,00:45,672,6 Seats available,3.0
HRTC,Delhi to Chandigarh,Lavish Travels,A/C Seater / Sleeper (2+2),18:15,06h 45m,01:00,719,28 Seats available,1.0
HRTC,Delhi to Chandigarh,FlixBus,Volvo A/C Seater (2+2),19:45,06h 00m,01:45,739.29,19 Seats available,3.9
HRTC,Delhi to Chandigarh,Northern Travels,Volvo A/C Semi Sleeper (2+2),20:00,05h 20m,01:20,650,13 Seats available,3.9
HRTC,Delhi to Chandigarh,Gola Bus Service,A/C Seater/Sleeper (2+1),20:00,05h 30m,01:30,599,19 Seats available,4.3
HRTC,Delhi to Chandigarh,Laxmi holidays,Volvo 9600 A/C Semi Sleeper (2+2),20:00,05h 30m,01:30,664,15 Seats available,3.7
HRTC,Delhi to Chandigarh,Royal Safari India Travels,A/C Seater / Sleeper (2+2),22:30,05h 30m,04:00,583,34 Seats available,4.7
HRTC,Delhi to Chandigarh,Laxmi holidays,Volvo Multi-Axle A/C Semi Sleeper (2+2),20:00,05h 00m,01:00,712,28 Seats available,3.6
HRTC,Delhi to Chandigarh,Orbit Aviation Pvt. Ltd.,Mercedes Multi-Axle Semi Sleeper (2+2),17:00,05h 32m,22:32,1050,34 Seats available,4.4
HRTC,Delhi to Chandigarh,Laxmi holidays,Volvo A/C Semi Sleeper (2+2),20:00,05h 10m,01:10,759,14 Seats available,4.5
HRTC,Delhi to Chandigarh,Laxmi holidays,Volvo A/C Semi Sleeper (2+2),20:00,05h 30m,01:30,664,13 Seats available,3.9
HRTC,Delhi to Chandigarh,FlixBus,Volvo A/C Seater (2+2),20:15,05h 45m,02:00,809.82,40 Seats available,4.8
HRTC,Delhi to Chandigarh,Zingbus Plus,Volvo 9600 A/C Semi Sleeper (2+2),22:00,05h 10m,03:10,630,32 Seats available,4.1
HRTC,Delhi to Chandigarh,Bharmani Travels,Volvo A/C Semi Sleeper (2+2),20:15,04h 55m,01:10,693,44 Seats available,4.6
HRTC,Delhi to Chandigarh,Laxmi holidays,Scania Multi-Axle AC Semi Sleeper (2+2),20:30,05h 20m,01:50,569,39 Seats available,3.0
HRTC,Delhi to Chandigarh,Banjara Satguru Travels,A/C Seater / Sleeper (2+1),22:40,04h 36m,03:16,640,44 Seats available,3.1
HRTC,Delhi to Chandigarh,SIDDHI VINAYAK TRAVELS,Volvo A/C Semi Sleeper (2+2),20:30,05h 45m,02:15,664,25 Seats available,5.0
HRTC,Delhi to Chandigarh,New Himalaya Travels,Volvo A/C Semi Sleeper (2+2),20:30,04h 50m,01:20,750,33 Seats available,4.4
HRTC,Delhi to Chandigarh,IntrCity SmartBus,Volvo A/C Semi Sleeper (2+2),20:30,05h 30m,02:00,599,24 Seats available,4.1
HRTC,Delhi to Chandigarh,Laxmi holidays,Volvo A/C Semi Sleeper (2+2),20:30,05h 00m,01:30,759,33 Seats available,4.1
HRTC,Delhi to Chandigarh,BSS COOL COOL TRAVELS,A/C Seater / Sleeper (2+2),20:30,05h 45m,02:15,448,13 Seats available,3.2
HRTC,Delhi to Chandigarh,Laxmi holidays,VE A/C Seater / Sleeper (2+2),21:00,05h 30m,02:30,579,17 Seats available,4.8
HRTC,Delhi to Chandigarh,Bedi Travels,Volvo A/C Semi Sleeper (2+2),21:30,04h 45m,02:15,630,24 Seats available,4.3
HRTC,Delhi to Chandigarh,IntrCity SmartBus,A/C Seater / Sleeper (2+1),21:00,05h 30m,02:30,559,38 Seats available,4.6
HRTC,Delhi to Chandigarh,Laxmi holidays,Volvo 9600 A/C Semi Sleeper (2+2),21:00,04h 55m,01:55,664,23 Seats available,2.8
HRTC,Delhi to Chandigarh,PAL Travel Lines,Volvo A/C Semi Sleeper (2+2),19:15,04h 30m,23:45,599,52 Seats available,3.1
HRTC,Delhi to Chandigarh,Deltin Travels,Volvo 9600 A/C Semi Sleeper (2+2),20:30,05h 00m,01:30,710,16 Seats available,4.0
HRTC,Delhi to Chandigarh,Laxmi holidays,Volvo 9600 A/C Semi Sleeper (2+2),21:00,05h 30m,02:30,759,32 Seats available,3.9
HRTC,Delhi to Chandigarh,FlixBus,Volvo A/C Seater (2+2),21:15,05h 35m,02:50,1359.82,28 Seats available,4.7
HRTC,Delhi to Chandigarh,Laxmi holidays,Scania Multi-Axle AC Semi Sleeper (2+2),21:20,05h 20m,02:40,599,31 Seats available,4.5
HRTC,Delhi to Chandigarh,IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),21:20,06h 40m,04:00,349,31 Seats available,3.0
HRTC,Delhi to Chandigarh,KVS Holidays,A/C Sleeper (2+2),21:00,05h 30m,02:30,500,29 Seats available,4.6
HRTC,Delhi to Chandigarh,IntrCity SmartBus,Volvo 9600 A/C Semi Sleeper (2+2),21:30,05h 35m,03:05,759,8 Seats available,4.5
HRTC,Delhi to Chandigarh,Zingbus Plus,Volvo 9600 A/C Semi Sleeper (2+2),22:15,05h 10m,03:25,662,34 Seats available,3.2
HRTC,Delhi to Chandigarh,Goel Tourist (Regd),A/C Seater / Sleeper (2+2),21:40,05h 40m,03:20,788,40 Seats available,4.3
