State,Route,Bus Name,Bus Type,Departing Time,Duration Time,Reaching Time,Price,Seats Available,Star Rating
KERALA_RTC,Bangalore to Kozhikode,MMK Travels,A/C Seater / Sleeper (2+1),22:30,09h 00m,07:30,1999,7 Seats available,4.5
KERALA_RTC,Bangalore to Kozhikode,SAAM BUS,VE A/C Sleeper (2+1),21:45,09h 00m,06:45,1900,15 Seats available,4.3
KERALA_RTC,Bangalore to Kozhikode,Kyros Connect,Bharat Benz A/C Semi Sleeper (2+2),23:00,10h 00m,09:00,1899,12 Seats available,4.1
KERALA_RTC,Bangalore to Kozhikode,AdSuraj Holidays,VE A/C Sleeper (2+1),22:30,09h 00m,07:30,1900,18 Seats available,3.9
KERALA_RTC,Bangalore to Kozhikode,NS Transports,,21:45,08h 25m,06:10,,,4.1
KERALA_RTC,Kozhikode to Bangalore,MMK Travels,A/C Seater / Sleeper (2+1),21:30,08h 30m,06:00,900,14 Seats available,4.5
KERALA_RTC,Kozhikode to Bangalore,DLT BUS,A/C Sleeper (2+1),21:45,08h 45m,06:30,999,11 Seats available,4.4
KERALA_RTC,Kozhikode to Bangalore,Kyros Connect,Bharat Benz A/C Semi Sleeper (2+2),12:15,09h 30m,21:45,799,16 Seats available,4.3
KERALA_RTC,Kozhikode to Bangalore,AdSuraj Holidays,VE A/C Sleeper (2+1),22:00,09h 15m,07:15,950,,3.7
KERALA_RTC,Kozhikode to Ernakulam,Madhavi Travels,A/C Semi Sleeper (2+2),00:15,06h 00m,06:15,599,12 Seats available,4.3
KERALA_RTC,Kozhikode to Ernakulam,Madhavi Travels,A/C Sleeper (2+1),01:30,04h 45m,06:15,799,31 Seats available,4.7
KERALA_RTC,Kozhikode to Ernakulam,A1 Travels,A/C Seater / Sleeper (2+1),20:05,03h 54m,23:59,800,14 Seats available,3.4
KERALA_RTC,Kozhikode to Ernakulam,A1 Travels,NON A/C Semi Sleeper (2+2),21:00,04h 30m,01:30,650,33 Seats available,3.7
KERALA_RTC,Kozhikode to Ernakulam,A1 Travels,NON A/C Semi Sleeper (2+2),22:30,04h 30m,03:00,700,17 Seats available,3.5
KERALA_RTC,Kozhikode to Ernakulam,Sonia Travels,A/C Seater/Sleeper (2+1),23:30,04h 59m,04:29,680,22 Seats available,4.9
KERALA_RTC,Kozhikode to Ernakulam,Sonia Travels,A/C Semi Sleeper (2+2),23:30,04h 45m,04:15,650,15 Seats available,5.0
KERALA_RTC,Kozhikode to Ernakulam,UFO Bus,A/C Sleeper (2+1),23:55,05h 35m,05:30,899,12 Seats available,4.0
KERALA_RTC,Kozhikode to Ernakulam,UFO Bus,Volvo Multi-Axle B9R A/c Semi Sleeper (2+2),23:55,05h 35m,05:30,670,21 Seats available,3.9
KERALA_RTC,Kozhikode to Ernakulam,Arya Travels,A/C Sleeper (2+1),23:59,05h 31m,05:30,895,2 Seats available,3.0
KERALA_RTC,Kozhikode to Ernakulam,SG Travels,Bharat Benz A/C Sleeper (2+1),23:59,05h 56m,05:55,849,35 Seats available,4.3
KERALA_RTC,Kozhikode to Ernakulam,Kalpaka Travels 1,A/C Sleeper (2+1),23:59,06h 01m,06:00,800,23 Seats available,4.3
KERALA_RTC,Kozhikode to Ernakulam,Cochin Express,Volvo Multi-Axle B9R A/c Semi Sleeper (2+2),23:59,05h 51m,05:50,667,8 Seats available,4.5
KERALA_RTC,Kozhikode to Ernakulam,UFO Bus,Volvo Multi-Axle B9R A/c Semi Sleeper (2+2),00:20,05h 10m,05:30,650,9 Seats available,4.5
KERALA_RTC,Kozhikode to Ernakulam,Holy Maria Travels,A/C Semi Sleeper (2+2),00:10,04h 00m,04:10,600,30 Seats available,2.9
KERALA_RTC,Kozhikode to Ernakulam,Ubc travels,A/C Semi Sleeper (2+2),00:25,04h 15m,04:40,700,29 Seats available,2.4
KERALA_RTC,Kozhikode to Ernakulam,Blue Bird Travels,A/C Seater Push Back (2+2),01:25,04h 31m,05:56,549,19 Seats available,1.0
KERALA_RTC,Kozhikode to Ernakulam,Greenline kerala,A/C Seater Push Back (2+2),01:30,04h 30m,06:00,650,7 Seats available,2.5
KERALA_RTC,Kozhikode to Ernakulam,Ubc travels,A/C Seater/Sleeper (2+1),01:45,03h 55m,05:40,900,12 Seats available,2.6
KERALA_RTC,Kozhikode to Ernakulam,Galaxy Tours,2+1 Air Suspension A/C Seater / Sleeper,21:45,04h 15m,02:00,850,41 Seats available,2.7
