State,Route,Bus Name,Bus Type,Departing Time,Duration Time,Reaching Time,Price,Seats Available,Star Rating
KTCL,Pune to Goa,Atmaram Gobus,VE A/C Sleeper (2+1),21:00,10h 30m,07:30,1199,7 Seats available,4.7
KTCL,Pune to Goa,Atmaram Gobus,VE A/C Sleeper (2+1),22:30,10h 15m,08:45,1199,4 Seats available,4.7
KTCL,Pune to Goa,IntrCity SmartBus,AC Sleeper (2+1),23:30,10h 20m,09:50,969,19 Seats available,4.5
KTCL,Pune to Goa,IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),21:00,11h 05m,08:05,609,19 Seats available,4.4
KTCL,Pune to Goa,Ashray Travels,Bharat Benz A/C Sleeper (2+1),21:00,12h 00m,09:00,1049,12 Seats available,4.3
KTCL,Pune to Goa,Dolphin Travel House (37),Bharat Benz A/C Sleeper (2+1),19:45,10h 15m,06:00,1010,32 Seats available,4.4
KTCL,Pune to Goa,IntrCity SmartBus,A/C Sleeper (2+1),22:30,10h 50m,09:20,1129,13 Seats available,4.3
KTCL,Pune to Goa,Gogte Anand Travels,Volvo Multi-Axle I-Shift A/C Sleeper (2+1),21:15,10h 40m,07:55,1000,13 Seats available,4.4
KTCL,Pune to Goa,Zingbus Plus,VE A/C Sleeper (2+1),02:30,11h 30m,14:00,1000,18 Seats available,4.5
KTCL,Pune to Goa,IntrCity SmartBus,A/C Sleeper (2+1),21:30,11h 15m,08:45,909,28 Seats available,4.2
KTCL,Pune to Goa,Ashray Travels,Non A/C Seater / Sleeper (2+1),21:15,10h 30m,07:45,700,25 Seats available,4.2
KTCL,Pune to Goa,Zingbus Plus,VE A/C Sleeper (2+1),00:10,12h 55m,13:05,900,20 Seats available,4.2
KTCL,Pune to Goa,Ashray Amrutyog,A/C Sleeper (2+1),22:00,11h 30m,09:30,1049,25 Seats available,4.0
KTCL,Pune to Goa,Ashray Grand,Volvo Multi-Axle A/C Sleeper (2+1),23:05,10h 25m,09:30,1300,24 Seats available,4.1
KTCL,Pune to Goa,Ashray Vip Yellows,A/C Sleeper (2+1),20:30,11h 30m,08:00,950,21 Seats available,4.1
KTCL,Pune to Goa,Zingbus Plus,Bharat Benz A/C Sleeper (2+1),23:00,11h 25m,10:25,900,26 Seats available,4.1
KTCL,Pune to Goa,IntrCity SmartBus,AC Sleeper (2+1),22:00,11h 05m,09:05,909,25 Seats available,4.3
KTCL,Pune to Goa,Gogte Travels,NON A/C Sleeper (1+2),19:30,10h 45m,06:15,699,17 Seats available,4.0
KTCL,Pune to Goa,IntrCity SmartBus,AC Sleeper (2+1),22:05,11h 05m,09:10,1009,25 Seats available,4.3
KTCL,Pune to Goa,Laxmi-Princess Nova,Non A/C Seater / Sleeper (2+1),20:00,11h 15m,07:15,699,15 Seats available,4.0
KTCL,Pune to Goa,Ashray National Express,NON A/C Sleeper (2+1),20:00,10h 45m,06:45,700,22 Seats available,4.1
KTCL,Pune to Goa,Ashray Atmaram Divine,NON A/C Sleeper (1+2),17:00,14h 30m,07:30,700,24 Seats available,3.9
KTCL,Pune to Goa,IntrCity SmartBus,AC Sleeper (2+1),21:55,10h 25m,08:20,909,36 Seats available,4.0
KTCL,Pune to Goa,Sangitam Travels Tanzanite,A/C Sleeper (2+1),21:00,10h 00m,07:00,2000,23 Seats available,4.2
KTCL,Pune to Goa,Atmaram Gobus,NON A/C Sleeper (2+1),20:30,10h 30m,07:00,800,20 Seats available,3.8
