State,Route,Bus Name,Bus Type,Departing Time,Duration Time,Reaching Time,Price,Seats Available,Star Rating
PEFSU,Delhi to Patiala,PEPSU (Punjab) - 66689,Volvo AC Seater (2+2),15:25,05h 00m,20:25,711,37 Seats available,3.8
PEFSU,Patiala to Delhi,PEPSU (Punjab) - 67101,AC Seater Hvac 2+2,15:25,05h 01m,20:26,454,33 Seats available,2.3
PEFSU,Patiala to Delhi,PEPSU (Punjab) - 67142,Volvo AC Seater (2+2),16:00,05h 25m,21:25,711,37 Seats available,4.2
PEFSU,Delhi to Ludhiana,Laxmi holidays,Bharat Benz A/C Seater /Sleeper (2+1),22:20,06h 40m,05:00,525,35 Seats available,4.6
PEFSU,Delhi to Ludhiana,Yolo Bus,Bharat Benz A/C Sleeper (2+1),23:05,05h 39m,04:44,600,22 Seats available,4.6
PEFSU,Delhi to Ludhiana,NueGo,Electric A/C Seater (2+2),22:00,06h 40m,04:40,475,17 Seats available,4.1
PEFSU,Delhi to Ludhiana,AdGolden Temple Express Volvo,A/C Seater / Sleeper (2+2),23:25,06h 20m,05:45,549,25 Seats available,4.0
PEFSU,Delhi to Ludhiana,Laxmi holidays,VE A/C Sleeper (2+1),23:00,07h 00m,06:00,641,33 Seats available,4.4
PEFSU,Delhi to Ludhiana,Golden Temple Express Volvo,Volvo Multi-Axle A/C Semi Sleeper (2+2),23:05,06h 16m,05:21,599,12 Seats available,4.1
PEFSU,Delhi to Ludhiana,IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),23:00,07h 10m,06:10,449,28 Seats available,4.7
PEFSU,Delhi to Ludhiana,Laxmi holidays,Bharat Benz A/C Sleeper (2+1),23:40,07h 00m,06:40,641,32 Seats available,4.4
PEFSU,Delhi to Ludhiana,Yolo Bus,VE A/C Seater / Sleeper (2+1),22:31,06h 30m,05:01,500,26 Seats available,4.0
PEFSU,Delhi to Ludhiana,IntrCity SmartBus,A/C Seater / Sleeper (2+1),22:15,08h 00m,06:15,419,27 Seats available,4.3
PEFSU,Delhi to Ludhiana,Laxmi holidays,Bharat Benz A/C Sleeper (2+1),23:30,07h 00m,06:30,641,35 Seats available,4.4
PEFSU,Delhi to Ludhiana,IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),20:30,06h 40m,03:10,499,16 Seats available,4.3
PEFSU,Delhi to Ludhiana,Zingbus Plus,Bharat Benz A/C Seater /Sleeper (2+1),20:00,06h 50m,02:50,606,21 Seats available,4.6
PEFSU,Delhi to Ludhiana,Zingbus Plus,Scania A/C Semi Sleeper (2+2),22:30,07h 05m,05:35,480,31 Seats available,4.6
PEFSU,Delhi to Ludhiana,Yolo Bus,VE A/C Seater / Sleeper (2+1),23:50,05h 54m,05:44,450,23 Seats available,4.8
PEFSU,Delhi to Ludhiana,Zingbus Plus,Bharat Benz A/C Seater /Sleeper (2+1),22:05,06h 50m,04:55,490,28 Seats available,4.8
PEFSU,Delhi to Ludhiana,Indo Canadian Transport Pvt. Ltd.,Volvo A/C Sleeper (2+1),22:00,08h 15m,06:15,3850,35 Seats available,5.0
PEFSU,Delhi to Ludhiana,IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),21:00,07h 30m,04:30,529,21 Seats available,4.7
PEFSU,Delhi to Ludhiana,Golden Temple Volvo Bus Service,A/C Seater / Sleeper (2+2),23:40,05h 20m,05:00,561,47 Seats available,3.2
PEFSU,Delhi to Ludhiana,IntrCity SmartBus,A/C Seater / Sleeper (2+1),23:30,06h 30m,06:00,409,22 Seats available,4.3
PEFSU,Delhi to Ludhiana,Golden Temple Express Volvo,A/C Seater / Sleeper (2+2),23:13,06h 22m,05:35,499,17 Seats available,3.8
PEFSU,Delhi to Ludhiana,FlixBus,Bharat Benz A/C Sleeper (2+1),17:45,07h 25m,01:10,926.79,7 Seats available,4.3
PEFSU,Delhi to Ludhiana,Banjara Satguru Travels,A/C Seater / Sleeper (2+2),23:05,06h 00m,05:05,586,31 Seats available,3.6
PEFSU,Delhi to Ludhiana,Royal Safari India Travels,A/C Seater / Sleeper (2+2),22:30,06h 30m,05:00,583,37 Seats available,4.3
PEFSU,Delhi to Ludhiana,FlixBus,Bharat Benz A/C Sleeper (2+1),21:45,06h 40m,04:25,749.11,13 Seats available,4.0
PEFSU,Delhi to Ludhiana,CALL2TRIP,A/C Seater / Sleeper (2+2),22:40,06h 00m,04:40,699,40 Seats available,4.7
PEFSU,Delhi to Ludhiana,Zingbus Plus,A/C Sleeper (2+1),21:35,06h 35m,04:10,935,25 Seats available,4.0
PEFSU,Delhi to Ludhiana,ADTC tour and Travels,Bharat Benz A/C Seater /Sleeper (2+1),22:40,05h 20m,04:00,449,21 Seats available,4.1
PEFSU,Delhi to Ludhiana,Golden Temple Express Volvo,Volvo Multi-Axle A/C Semi Sleeper (2+2),23:05,06h 06m,05:11,599,13 Seats available,2.4
PEFSU,Delhi to Ludhiana,Banjara Satguru Travels,A/C Seater / Sleeper (2+2),23:35,05h 30m,05:05,586,33 Seats available,4.0
PEFSU,Delhi to Ludhiana,K.S Travels,A/C Semi Sleeper / Sleeper (2+2),23:00,06h 45m,05:45,700,38 Seats available,2.8
PEFSU,Delhi to Ludhiana,Banjara Satguru Travels,A/C Seater / Sleeper (2+2),22:40,06h 06m,04:46,629,39 Seats available,2.0
PEFSU,Delhi to Ludhiana,Maheshwaram Travels,A/C Seater / Sleeper (2+2),21:00,07h 00m,04:00,566,32 Seats available,4.6
PEFSU,Delhi to Ludhiana,IntrCity SmartBus,A/C Seater / Sleeper (2+1),23:20,06h 25m,05:45,479,30 Seats available,4.2
PEFSU,Delhi to Ludhiana,IntrCity SmartBus,VE A/C Seater / Sleeper (2+1),22:30,07h 35m,06:05,629,16 Seats available,3.0
PEFSU,Delhi to Ludhiana,NueGo,Electric A/C Seater (2+2),18:00,06h 25m,00:25,304,30 Seats available,2.6
PEFSU,Delhi to Ludhiana,Golden Temple Express Volvo,A/C Seater / Sleeper (2+2),23:05,05h 56m,05:01,499,8 Seats available,3.0
PEFSU,Delhi to Ludhiana,NueGo,Electric A/C Seater (2+2),23:50,06h 25m,06:15,304,25 Seats available,3.5
PEFSU,Delhi to Ludhiana,New Navyug Travels,A/C Sleeper (2+1),22:45,05h 45m,04:30,625,28 Seats available,3.2
PEFSU,Delhi to Ludhiana,ADTC tour and Travels,Volvo Multi-Axle I-Shift B11R Semi Sleeper (2+2),22:25,05h 35m,04:00,600,18 Seats available,3.6
PEFSU,Delhi to Ludhiana,FlixBus,Bharat Benz A/C Sleeper (2+1),23:00,06h 50m,05:50,749.11,12 Seats available,3.4
