,Route,Link
1,Delhi to Patiala,https://www.redbus.in/bus-tickets/delhi-to-patiala
2,Patiala to Delhi,https://www.redbus.in/bus-tickets/patiala-to-delhi
3,Delhi to Ludhiana,https://www.redbus.in/bus-tickets/delhi-to-ludhiana
4,Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi
5,Jalandhar to Delhi,https://www.redbus.in/bus-tickets/jalandhar-to-delhi
6,Delhi to Jalandhar,https://www.redbus.in/bus-tickets/delhi-to-jalandhar
7,Delhi Airport to Patiala,https://www.redbus.in/bus-tickets/delhi-airport-to-patiala
8,Ludhiana to Delhi Airport,https://www.redbus.in/bus-tickets/ludhiana-to-delhi-airport
9,Delhi Airport to Ludhiana,https://www.redbus.in/bus-tickets/delhi-airport-to-ludhiana
10,Jalandhar to Delhi Airport,https://www.redbus.in/bus-tickets/jalandhar-to-delhi-airport
11,Phagwara to Delhi Airport,https://www.redbus.in/bus-tickets/phagwara-to-delhi-airport
12,Delhi to Phagwara,https://www.redbus.in/bus-tickets/delhi-to-phagwara
13,Delhi Airport to Jalandhar,https://www.redbus.in/bus-tickets/delhi-airport-to-jalandhar
14,Phagwara to Delhi,https://www.redbus.in/bus-tickets/phagwara-to-delhi
15,Delhi to Amritsar,https://www.redbus.in/bus-tickets/delhi-to-amritsar
16,Amritsar to Delhi,https://www.redbus.in/bus-tickets/amritsar-to-delhi
17,Amritsar to Delhi Airport,https://www.redbus.in/bus-tickets/amritsar-to-delhi-airport
18,Delhi Airport to Phagwara,https://www.redbus.in/bus-tickets/delhi-airport-to-phagwara
