State,Route,Bus Name,Bus Type,Departing Time,Duration Time,Reaching Time,Price,Seats Available,Star Rating
SBSTC,Kolkata to Digha,Shyamoli Paribahan Pvt Ltd,VE A/C Seater (2+2),23:30,05h 00m,04:30,899,21 Seats available,4.5
SBSTC,Kolkata to Digha,Express Line,Volvo 9600 A/C Seater (2+2),23:45,05h 00m,04:45,749,39 Seats available,4.3
SBSTC,Kolkata to Digha,Maa Chandi Travels,A/C Seater / Sleeper (2+2),22:00,07h 30m,05:30,600,12 Seats available,4.2
SBSTC,Kolkata to Digha,Parameswar Travels,A/C Seater Push Back (2+3),23:45,05h 15m,05:00,400,28 Seats available,3.2
SBSTC,Kolkata to Digha,Sagufta Travels(Maa Chandi),A/C Seater / Sleeper (2+2),23:57,05h 13m,05:10,515,16 Seats available,3.9
SBSTC,Kolkata to Digha,Purusottam Travels,A/C Seater (2+3),14:39,05h 26m,20:05,420,19 Seats available,4.3
SBSTC,Kolkata to Digha,Sagufta Travels (Atithi),A/C Seater Push Back (2+3),23:59,05h 01m,05:00,415,8 Seats available,3.6
SBSTC,Kolkata to Digha,Basu Travels,A/C Seater Push Back (2+3),23:30,05h 00m,04:30,419,28 Seats available,3.9
SBSTC,Kolkata to Digha,Basu Travels,A/C Seater / Sleeper (2+2),23:59,05h 01m,05:00,599,23 Seats available,3.2
SBSTC,Kolkata to Digha,Maa Chandi Travels,A/C Seater / Sleeper (2+2),23:57,05h 13m,05:10,500,2 Seats available,3.9
SBSTC,Kolkata to Digha,City Express (Shinjini),AC Seater (2+3),23:50,05h 05m,04:55,470,22 Seats available,2.9
SBSTC,Kolkata to Digha,Snemita Paribahan (Bhorpet),AC Seater (2+2),23:55,04h 50m,04:45,570,38 Seats available,3.6
SBSTC,Kolkata to Digha,Parameswar Travels,A/C Seater Push Back (2+3),23:59,05h 01m,05:00,400,26 Seats available,2.5
SBSTC,Kolkata to Digha,Bengal Surface Transport,A/C Seater / Sleeper (2+2),23:55,05h 05m,05:00,550,24 Seats available,2.7
