State,Route,Bus Name,Bus Type,Departing Time,Duration Time,Reaching Time,Price,Seats Available,Star Rating
TSRTC,Hyderabad to Vijayawada,FRESHBUS,Electric A/C Seater (2+2),22:55,06h 15m,05:10,524,19 Seats available,4.5
TSRTC,Hyderabad to Vijayawada,IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),23:50,05h 45m,05:35,679,19 Seats available,4.4
TSRTC,Hyderabad to Vijayawada,Zingbus Plus,A/C Seater / Sleeper (2+1),23:38,06h 27m,06:05,725,31 Seats available,4.5
TSRTC,Hyderabad to Vijayawada,AdSai Dasari Travels,Non A/C Seater / Sleeper (2+1),23:05,05h 22m,04:27,880,4 Seats available,3.5
TSRTC,Hyderabad to Vijayawada,FRESHBUS,Electric A/C Seater (2+2),14:45,04h 40m,19:25,449,17 Seats available,4.5
TSRTC,Hyderabad to Vijayawada,IntrCity SmartBus,Scania AC Multi Axle Sleeper (2+1),23:30,07h 10m,06:40,1199,22 Seats available,4.5
TSRTC,Hyderabad to Vijayawada,FRESHBUS,Electric A/C Seater (2+2),23:40,06h 15m,05:55,629,23 Seats available,4.4
TSRTC,Hyderabad to Vijayawada,GMRK Tours and Travels,Volvo A/C Semi Sleeper (2+2),23:45,05h 40m,05:25,769,23 Seats available,4.5
TSRTC,Hyderabad to Vijayawada,NueGo,Electric A/C Seater (2+2),22:30,07h 30m,06:00,522,24 Seats available,4.4
TSRTC,Hyderabad to Vijayawada,IntrCity SmartBus,A/C Seater / Sleeper (2+1),23:05,06h 55m,06:00,769,16 Seats available,4.4
TSRTC,Hyderabad to Vijayawada,NueGo,Electric A/C Seater (2+2),22:35,06h 40m,05:15,874,29 Seats available,4.5
TSRTC,Hyderabad to Vijayawada,FRESHBUS,Electric A/C Seater (2+2),00:20,06h 10m,06:30,699,5 Seats available,4.5
TSRTC,Hyderabad to Vijayawada,Svkdt travels,A/C Sleeper (2+1),23:35,06h 15m,05:50,969,20 Seats available,4.4
TSRTC,Hyderabad to Vijayawada,FRESHBUS,Electric A/C Seater (2+2),22:25,06h 30m,04:55,899,13 Seats available,4.4
TSRTC,Khammam to Hyderabad,Sri KVR Travels,Non A/C Seater / Sleeper (2+1),23:40,05h 20m,05:00,400,23 Seats available,3.1
TSRTC,Khammam to Hyderabad,BSR Tours And Travels,NON A/C Seater (2+2),23:40,06h 20m,06:00,400,33 Seats available,4.2
TSRTC,Khammam to Hyderabad,Bharathi Tours & Travels,Non A/C Seater / Sleeper (2+1),23:40,04h 20m,04:00,390,20 Seats available,4.2
TSRTC,Khammam to Hyderabad,Sri Venkateswara Travels,Non A/C Seater / Sleeper (2+1),23:45,06h 15m,06:00,400,23 Seats available,4.2
TSRTC,Khammam to Hyderabad,RRR Travels,A/C Sleeper (2+1),23:50,05h 40m,05:30,650,17 Seats available,4.5
TSRTC,Khammam to Hyderabad,Sri KVR Travels,A/C Sleeper (2+1),23:58,05h 02m,05:00,480,23 Seats available,5.0
TSRTC,Khammam to Hyderabad,BSR Tours And Travels,A/C Sleeper (2+1),23:59,06h 01m,06:00,780,8 Seats available,4.3
TSRTC,Khammam to Hyderabad,Bharathi Tours & Travels,Non A/C Seater / Sleeper (2+1),23:59,05h 01m,05:00,390,27 Seats available,4.0
TSRTC,Khammam to Hyderabad,SAIRAJ TRAVELS,A/C Seater / Sleeper (2+1),23:59,06h 06m,06:05,500,28 Seats available,4.4
TSRTC,Khammam to Hyderabad,SAIRAJ TRAVELS,A/C Sleeper (2+1),23:59,05h 31m,05:30,700,17 Seats available,5.0
TSRTC,Khammam to Hyderabad,SAIRAJ TRAVELS,NON A/C Seater (2+2),23:59,06h 16m,06:15,400,26 Seats available,3.5
TSRTC,Khammam to Hyderabad,Sri Krishna Travels(VGN),Non A/C Seater / Sleeper (2+1),23:59,06h 11m,06:10,450,18 Seats available,3.1
TSRTC,Khammam to Hyderabad,BSR Tours And Travels,A/C Seater / Sleeper (2+1),23:59,06h 01m,06:00,580,24 Seats available,4.6
TSRTC,Khammam to Hyderabad,Sri KVR Travels,Non A/C Seater / Sleeper (2+1),00:30,05h 00m,05:30,450,18 Seats available,3.1
TSRTC,Khammam to Hyderabad,Orange Tours And Travels,NON A/C Seater/ Sleeper (2+1),00:30,04h 30m,05:00,500,40 Seats available,3.2
TSRTC,Khammam to Hyderabad,Mozo travels,A/C Seater / Sleeper (2+1),01:30,04h 30m,06:00,499,24 Seats available,4.4
TSRTC,Khammam to Hyderabad,Mozo travels,A/C Seater / Sleeper (2+1),01:30,04h 30m,06:00,549,35 Seats available,4.4
TSRTC,Khammam to Hyderabad,Bharathi Tours & Travels,A/C Sleeper (2+1),23:59,0-19h 0-59m,05:00,690,17 Seats available,3.6
TSRTC,Khammam to Hyderabad,Morning Star Travels,Volvo Multi Axle B9R A/C Sleeper (2+1),18:00,03h 45m,21:45,690,15 Seats available,2.3
TSRTC,Khammam to Hyderabad,Sri Krishna Travels(VGN),NON A/C Hi-Tech (2+2),23:55,05h 30m,05:25,350,7 Seats available,2.6
TSRTC,Khammam to Hyderabad,Morning Star Travels,A/C Sleeper (2+1),00:45,03h 35m,04:20,600,9 Seats available,1.8
TSRTC,Khammam to Hyderabad,Morning Star Travels,A/C Sleeper (2+1),01:30,03h 30m,05:00,790,38 Seats available,2.2
TSRTC,Khammam to Hyderabad,Navin Citi Connect,Non A/C Seater / Sleeper (2+1),23:59,06h 11m,06:10,3000,41 Seats available,3.4
TSRTC,Hyderabad to Khammam,Gupta Travels Galaxy,NON A/C Seater / Sleeper (2+2),21:00,06h 15m,03:15,700,12 Seats available,3.8
TSRTC,Hyderabad to Khammam,Sri KVR Travels,NON A/C Seater (2+2),21:15,06h 45m,04:00,850,13 Seats available,3.6
TSRTC,Hyderabad to Khammam,Sri KVR Travels,Non A/C Seater / Sleeper (2+1),21:15,05h 45m,03:00,810,4 Seats available,4.9
TSRTC,Hyderabad to Khammam,Bharathi Tours & Travels,NON A/C Hi-Tech (2+2),21:20,05h 40m,03:00,800,15 Seats available,4.3
TSRTC,Hyderabad to Khammam,Bharathi Tours & Travels,Non A/C Seater / Sleeper (2+1),21:20,06h 10m,03:30,600,12 Seats available,4.7
TSRTC,Hyderabad to Khammam,Sri KVR Travels,Non A/C Seater / Sleeper (2+1),21:30,05h 45m,03:15,890,17 Seats available,4.3
TSRTC,Hyderabad to Khammam,Sri Krishna Travels(VGN),NON A/C Hi-Tech (2+2),21:45,05h 45m,03:30,650,9 Seats available,3.9
TSRTC,Hyderabad to Khammam,Sri Krishna Travels(VGN),Non A/C Seater / Sleeper (2+1),21:45,06h 05m,03:50,650,19 Seats available,3.5
TSRTC,Hyderabad to Khammam,Rajdhani Travels,A/C Sleeper (2+1),21:50,05h 10m,03:00,950,3 Seats available,4.3
TSRTC,Hyderabad to Khammam,BSR Tours And Travels,NON A/C Seater (2+2),22:00,04h 30m,02:30,880,30 Seats available,3.1
TSRTC,Hyderabad to Khammam,Sri KVR Travels,A/C Sleeper (2+1),22:00,06h 00m,04:00,850,14 Seats available,4.1
TSRTC,Hyderabad to Khammam,SAIRAJ TRAVELS,NON A/C Seater (2+2),22:15,05h 15m,03:30,890,10 Seats available,4.2
TSRTC,Hyderabad to Khammam,SAIRAJ TRAVELS,NON A/C Seater (2+2),22:15,05h 15m,03:30,890,9 Seats available,4.1
TSRTC,Hyderabad to Khammam,Sri Venkateswara Travels,Non A/C Seater / Sleeper (2+1),22:30,05h 00m,03:30,800,21 Seats available,4.1
TSRTC,Hyderabad to Khammam,SBS Tours and Travels,Non A/C Seater / Sleeper (2+1),22:45,04h 30m,03:15,690,27 Seats available,3.9
TSRTC,Hyderabad to Khammam,Sri KVR Travels,Non A/C Seater / Sleeper (2+1),23:45,03h 15m,03:00,950,31 Seats available,1.0
TSRTC,Hyderabad to Khammam,Maa Bankeshwari -Gupta Travels Galaxy,NON A/C Seater / Sleeper (2+2),19:15,05h 15m,00:30,650,9 Seats available,1.0
TSRTC,Hyderabad to Khammam,KVR Tours and Travels,A/C Seater / Sleeper (2+1),21:30,06h 10m,03:40,854,24 Seats available,2.4
TSRTC,Hyderabad to Khammam,Nani’s Sai Krishna Travels,Non A/C Seater / Sleeper (2+1),22:20,05h 25m,03:45,750,5 Seats available,1.6
TSRTC,Hyderabad to Khammam,Nani’s Sai Krishna Travels,Non A/C Seater / Sleeper (2+1),22:20,05h 25m,03:45,830,20 Seats available,2.8
TSRTC,Hyderabad to Khammam,Hanuman Travels,A/C Seater / Sleeper (2+1),22:30,04h 30m,03:00,949,22 Seats available,3.0
TSRTC,Hyderabad to Khammam,Orange Tours And Travels,NON A/C Seater/ Sleeper (2+1),23:30,05h 00m,04:30,900,19 Seats available,3.8
TSRTC,Hyderabad to Khammam,Siri Tours and Travels,A/C Seater / Sleeper (2+1),18:30,06h 00m,00:30,999,18 Seats available,3.4
TSRTC,Hyderabad to Khammam,Sri Krishna Travels,Non A/C Seater / Sleeper (2+1),19:30,04h 00m,23:30,1200,38 Seats available,4.0
TSRTC,Hyderabad to Khammam,Navin Citi Connect,Non A/C Seater / Sleeper (2+1),19:45,06h 30m,02:15,3000,21 Seats available,3.7
TSRTC,Hyderabad to Khammam,DMR Travels,A/C Sleeper (2+1),20:50,05h 40m,02:30,1770,13 Seats available,4.0
TSRTC,Hyderabad to Khammam,Bharathi Tours & Travels,Non A/C Seater / Sleeper (2+1),21:20,06h 30m,03:50,1000,25 Seats available,3.5
TSRTC,Hyderabad to Khammam,Bharathi Tours & Travels,A/C Sleeper (2+1),21:20,06h 10m,03:30,1390,23 Seats available,3.5
TSRTC,Hyderabad to Khammam,Sri Rama Travels,A/C Seater / Sleeper (2+1),21:40,05h 50m,03:30,1111,21 Seats available,3.0
TSRTC,Hyderabad to Khammam,Sri Rama Travels,A/C Seater / Sleeper (2+1),21:40,05h 50m,03:30,1888,20 Seats available,5.0
TSRTC,Hyderabad to Khammam,Siri Tours and Travels,Non A/C Seater / Sleeper (2+1),21:50,04h 40m,02:30,999,12 Seats available,5.0
TSRTC,Hyderabad to Khammam,Sri Sai Balaji Travels,A/C Sleeper (2+1),21:55,05h 05m,03:00,1399,34 Seats available,3.0
TSRTC,Hyderabad to Khammam,Sri Sai Balaji Travels,A/C Sleeper (2+1),21:55,05h 05m,03:00,3999,3 Seats available,3.8
TSRTC,Hyderabad to Khammam,BSR Tours And Travels,A/C Sleeper (2+1),22:00,04h 30m,02:30,1280,3 Seats available,4.2
TSRTC,Hyderabad to Khammam,RRR Travels,A/C Sleeper (2+1),22:00,06h 00m,04:00,1100,16 Seats available,4.0
TSRTC,Hyderabad to Khammam,SAIRAJ TRAVELS,A/C Seater / Sleeper (2+1),22:15,05h 15m,03:30,1090,32 Seats available,4.2
TSRTC,Hyderabad to Khammam,SVN TOURS & TRAVELS,A/C Semi Sleeper / Sleeper (2+1),22:15,05h 45m,04:00,1372,1 Seat available,4.0
TSRTC,Hyderabad to Khammam,SAIRAJ TRAVELS,A/C Sleeper (2+1),22:15,05h 15m,03:30,1890,42 Seats available,3.7
TSRTC,Hyderabad to Khammam,SVN TOURS & TRAVELS,NON A/C Semi Sleeper / Sleeper (2+1),22:15,05h 45m,04:00,2176,22 Seats available,4.7
TSRTC,Hyderabad to Khammam,Morning Star Travels,A/C Sleeper (2+1),22:30,04h 30m,03:00,1290,19 Seats available,3.0
TSRTC,Hyderabad to Khammam,Bharathi Tours & Travels,Non A/C Seater / Sleeper (2+1),22:35,05h 10m,03:45,1000,9 Seats available,5.0
TSRTC,Hyderabad to Khammam,Bharathi Tours & Travels,A/C Sleeper (2+1),22:35,05h 10m,03:45,1390,10 Seats available,4.0
TSRTC,Hyderabad to Khammam,Mozo travels,A/C Seater / Sleeper (2+1),22:40,04h 55m,03:35,1000,21 Seats available,4.6
TSRTC,Hyderabad to Khammam,Mythri Tours And Travels,A/C Sleeper (2+1),23:00,03h 30m,02:30,1299,12 Seats available,1.0
TSRTC,Hyderabad to Khammam,VSR Tours and Travels,A/C Sleeper (2+1),23:00,03h 30m,02:30,1299,23 Seats available,2.4
TSRTC,Hyderabad to Khammam,MAHABAHUSRIKVRTRAVELS,A/C Seater / Sleeper (2+1),17:00,04h 15m,21:15,1300,8 Seats available,1.0
TSRTC,Hyderabad to Khammam,Sri Krishna Travels,A/C Sleeper (2+1),19:00,04h 30m,23:30,2000,12 Seats available,1.0
TSRTC,Hyderabad to Khammam,KVR Tours and Travels,A/C Sleeper (2+1),19:30,06h 10m,01:40,1329,1 Seat available,2.7
TSRTC,Hyderabad to Srisailam,TGSRTC - 9618,Super Luxury (Non AC Seater 2+2 Push Back),14:35,07h 45m,22:20,442,21 Seats available,3.6
TSRTC,Hyderabad to Srisailam,TGSRTC - 1282,Rajdhani (AC Semi Sleeper 2+2),15:00,05h 00m,20:00,524,31 Seats available,3.7
TSRTC,Hyderabad to Srisailam,TGSRTC - 1964,Deluxe (Non AC Seater 2+2),15:00,07h 15m,22:15,390,29 Seats available,4.1
TSRTC,Hyderabad to Srisailam,TGSRTC - 1266,Super Luxury (Non AC Seater 2+2 Push Back),15:45,07h 15m,23:00,442,11 Seats available,4.4
