State,Route,Bus Name,Bus Type,Departing Time,Duration Time,Reaching Time,Price,Seats Available,Star Rating
WBTC,Digha to Barasat (West Bengal),WBTC (CTC) MADHYAMGRAM - DIGHA via Belghoria - 130|16:00,Non AC Seater (2+3),16:00,05h 05m,21:05,161,19 Seats available,1.7
WBTC,Digha to Barasat (West Bengal),Arunita Paribahan,A/C Seater (2+3),23:35,05h 25m,05:00,420,28 Seats available,5.0
WBTC,Digha to Barasat (West Bengal),Aradhana Bus Service,Non AC Seater (2+3),16:50,06h 40m,23:30,350,60 Seats available,1.0
WBTC,Digha to Barasat (West Bengal),Aradhana Travels,A/C Seater / Sleeper (2+2),18:35,05h 20m,23:55,540,19 Seats available,1.1
WBTC,Digha to Barasat (West Bengal),Satya Paribahan,A/C Seater (2+3),23:00,06h 10m,05:10,280,23 Seats available,2.6
WBTC,Digha to Calcutta,Sree Jagannath Travels,A/C Seater Push Back (2+3),15:00,05h 00m,20:00,449,30 Seats available,4.2
WBTC,Digha to Calcutta,Snemita Paribahan(Shinjini),A/C Seater (2+3),22:45,05h 25m,04:10,330,26 Seats available,3.6
WBTC,Digha to Calcutta,City Express (Shinjini),AC Seater (2+3),22:45,05h 25m,04:10,330,28 Seats available,3.2
WBTC,Digha to Calcutta,Satya Paribahan,A/C Seater (2+3),23:00,04h 45m,03:45,280,25 Seats available,2.9
WBTC,Digha to Calcutta,Snemita Paribahan(SHINJINI),A/C Seater (2+3),16:00,04h 30m,20:30,420,19 Seats available,2.3
WBTC,Digha to Calcutta,Snemita Parisheba(Santosh),A/C Seater Push Back (2+3),23:00,05h 20m,04:20,370,20 Seats available,2.2
WBTC,Digha to Calcutta,Basu Travels,A/C Seater Push Back (2+3),17:30,05h 00m,22:30,419,45 Seats available,2.3
WBTC,Digha to Calcutta,Snemita Paribahan (Shinjini),AC Seater (2+3),23:35,04h 10m,03:45,370,41 Seats available,2.0
WBTC,Digha to Calcutta,Parameswar Travels,A/C Seater Push Back (2+3),18:10,05h 05m,23:15,285,60 Seats available,2.2
